,Type,Name
3,Protein,Extracellular calcium-sensing receptor
8,Protein,Dopamine D2 receptor
13643,MeSH,myocarditis
13647,MeSH,"dyspnea, paroxysmal"
13654,MeSH,"sinus arrest, cardiac"
13657,MeSH,bradycardia
13659,MeSH,"cardiac complexes, premature"
13662,MeSH,commotio cordis
13664,MeSH,adams-stokes syndrome
13668,MeSH,sinoatrial block
13678,MeSH,tachycardia
13715,MeSH,"foramen ovale, patent"
13746,MeSH,tricuspid valve prolapse
13753,MeSH,tricuspid valve insufficiency
13776,MeSH,"shock, cardiogenic"
13787,MeSH,heart arrest
13790,MeSH,out-of-hospital cardiac arrest
13791,MeSH,heart rupture
13793,MeSH,ventricular septal rupture
13796,MeSH,takotsubo cardiomyopathy
13803,MeSH,"pericarditis, tuberculous"
