,Type,Name,pagerank
32,Protein,,3.4200361221251647
29,Protein,,1.3097290684032425
15,Protein,,0.9763959398699104
19,Protein,,0.9045287621381717
39,Protein,,0.900596529371344
22,Protein,,0.6015905015938484
26,Protein,,0.5683407879371882
27,Protein,,0.556677701694665
18,Protein,,0.556677701694665
37,Protein,,0.556677701694665
35,Protein,,0.5282459284325158
33,Protein,,0.5248972149152256
45,Protein,,0.5248972149152256
12,Protein,,0.5248054382760617
38,Protein,,0.5248054382760617
42,Protein,,0.5248054382760617
40,Protein,,0.5248054382760617
41,Protein,,0.5248054382760617
43,Protein,,0.5248054382760617
44,Protein,,0.5248054382760617
46,Protein,,0.5248054382760617
47,Protein,,0.5248054382760617
36,Protein,,0.5248054382760617
30,Protein,,0.5248054382760617
34,Protein,,0.5248054382760617
31,Protein,,0.5248054382760617
13,Protein,,0.5248054382760617
28,Protein,,0.5248054382760617
25,Protein,,0.5248054382760617
24,Protein,,0.5248054382760617
23,Protein,,0.5248054382760617
21,Protein,,0.5248054382760617
20,Protein,,0.5248054382760617
17,Protein,,0.5248054382760617
16,Protein,,0.5248054382760617
14,Protein,,0.5248054382760617
48,Protein,,0.5248054382760617
