,Type,Name,pagerank
0,Protein,Caveolin-1,60.91927953522409
7,Protein,Caveolin-3,50.56511485997288
13,Protein,Calmodulin,44.1809636064736
4,Protein,Protein kinase C alpha type,40.97054902036916
17,Protein,Tyrosine-protein kinase Fyn,26.82837546146485
15,Protein,cAMP-dependent protein kinase catalytic subunit alpha,23.86043928976438
11,Protein,Integrin beta-1,20.344934377149773
2,Protein,Presenilin-2,19.78511911554214
21,Protein,Ankyrin-2,17.70807993126556
10,Protein,Sorcin,16.096834489128426
1,Protein,Presenilin-1,14.12965123291634
26,Protein,14-3-3 protein epsilon,13.3064698491311
5,Protein,Peptidyl-prolyl cis-trans isomerase FKBP4,13.206684674237316
31,Protein,Calcium/calmodulin-dependent protein kinase type II subunit delta,11.861820542706976
3,Protein,Calcium-activated potassium channel subunit alpha-1,11.759231877287446
8,Protein,Syntaxin-1A,11.49008248779808
12,Protein,Stromal interaction molecule 1,11.226989484166136
18,Protein,"Inositol 1,4,5-trisphosphate receptor type 1",9.948247441655226
24,Protein,"Inositol 1,4,5-trisphosphate receptor type 2",9.191832269883744
23,Protein,Alpha-actinin-2,7.4837953471973115
9,Protein,Short transient receptor potential channel 4,7.467556279693655
750,MeSH,williams syndrome,7.226003004713562
19,Protein,Peptidyl-prolyl cis-trans isomerase FKBP1A,6.914458737155938
747,MeSH,sick sinus syndrome,6.103282138725748
25,Protein,Alpha-actinin-1,5.97427648802571
14,Protein,Transient receptor potential cation channel subfamily M member 2,5.766361977680459
16,Protein,Glutathione S-transferase omega-1,5.651042121716239
32,Protein,Serine/threonine-protein kinase Sgk1,5.422651387390869
34,Protein,Sodium/calcium exchanger 1,5.410896345485368
20,Protein,Plasma membrane calcium-transporting ATPase 4,4.107131374007027
33,Protein,Protein diaphanous homolog 1,4.002229050388669
27,Protein,Voltage-dependent L-type calcium channel subunit beta-2,3.931264926395135
6,Protein,"Glutamate receptor ionotropic, NMDA 2C",2.7459253522175895
35,Protein,Voltage-dependent L-type calcium channel subunit alpha-1C,2.7113100859176362
30,Protein,Voltage-dependent L-type calcium channel subunit beta-1,2.5698730632341107
37,Protein,Calcium release-activated calcium channel protein 1,2.321996091958554
36,Protein,Potassium channel subfamily K member 3,2.2650768274438056
22,Protein,Neurexin-1,1.7648248523871088
28,Protein,Galanin receptor type 2,1.3545414980542252
29,Protein,Calmodulin-2,1.3193924365254535
38,Protein,Sarcoplasmic reticulum histidine-rich calcium-binding protein,1.2978364348162474
41,Protein,"Calcium uniporter protein, mitochondrial",1.1451733297664153
39,Protein,Chloride intracellular channel protein 2,1.044744575789927
40,Protein,Voltage-dependent T-type calcium channel subunit alpha-1G,1.0384502943353846
746,MeSH,kearns-sayre syndrome,0.9375513664106648
748,MeSH,andersen syndrome,0.7781519299992615
42,Protein,Protein kinase C and casein kinase substrate in neurons protein 3,0.5520365478904548
749,MeSH,trisomy 13 syndrome,0.4865275127800338
43,Protein,Calcium channel voltage-dependent subunit beta 1,0.4420386218305439
